control_id,display_name,input_event,binding,calculator_code,readback,expected_value,source,status,notes
nav-logo-position-2,NAV & LOGO selector position 2,AIRLINER_LT_NAVLOGO,STATE1,"(>B:AIRLINER_LT_NAVLOGO_STATE1)",INI_LOGO_LIGHT_SWITCH,0,MSFS Behavior Viewer + user live test,Live verified,Aircraft selector label 2 maps to native value 0
nav-logo-off,NAV & LOGO selector OFF,AIRLINER_LT_NAVLOGO,STATE3,"(>B:AIRLINER_LT_NAVLOGO_STATE3)",INI_LOGO_LIGHT_SWITCH,2,MSFS Behavior Viewer + user live test,Live verified,Aircraft selector OFF maps to native value 2
strobe-selector,STROBE selector,AIRLINER_LT_STROBE,SetInputEvent 0/1/2,,INI_STROBE_LIGHT_SWITCH,ON=0 AUTO=1 OFF=2,HubHop export + controlled live command test,Live verified,AUTO and OFF independently verified
fire-test-apu,APU fire test,INSTRUMENT_FIRE_APU_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_APU_FIRE_TEST)",A320_APU_FIRE_LIT or INI_APU_FIRE_SOUND,0/1,MSFS Behavior Viewer + controlled live test,Live verified,Single sustained five-second hold followed by one release
fire-test-engine-1,Engine 1 fire test,INSTRUMENT_FIRE_ENG1_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_ENG1_FIRE_TEST)",A320_ENG1_FIRE_LIT or INI_ENG1_FIRE_SOUND,0/1,APU pattern + controlled live test,Live verified,Single sustained five-second hold followed by one release
fire-test-engine-2,Engine 2 fire test,INSTRUMENT_FIRE_ENG2_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_ENG2_FIRE_TEST)",A320_ENG2_FIRE_LIT or INI_ENG2_FIRE_SOUND,0/1,APU pattern + controlled live test,Live verified,Single sustained five-second hold followed by one release
apu-generator,APU generator,AIRLINER_ELEC_APU_GEN,PUSH,"(>B:AIRLINER_ELEC_APU_GEN_PUSH)",INI_APU_GEN_ON,,MSFS Behavior Viewer + MobiFlight LVar inventory,Ready for live verification,Push binding and independent native readback documented
apu-master,APU master,AIRLINER_APU_MASTER,PUSH,"(>B:AIRLINER_APU_MASTER_PUSH)",INI_APU_MASTER_SWITCH,,MSFS Behavior Viewer + MobiFlight LVar inventory + live test,Binding semantics unresolved,Binding exists but parameterless calculator command did not change native state; expanded PUSH details required
apu-start,APU start,AIRLINER_APU_START,PUSH,"(>B:AIRLINER_APU_START_PUSH)",INI_APU_START_BUTTON,,MSFS Behavior Viewer + MobiFlight LVar inventory,Ready for live verification,Push binding and native button readback documented; APU availability uses INI_APU_AVAILABLE
apu-bleed,APU bleed,AIRLINER_APU_BLEED,Mouserect,"(L:INI_APU_BLEED_BUTTON) ! (>L:INI_APU_BLEED_BUTTON) (L:__APU_BLEEDIsPressed) ! (>L:__APU_BLEEDIsPressed)",INI_APU_BLEED_BUTTON,0/1,MSFS Behavior Viewer + live test,Live verified,Exact cockpit Mouserect code; ON and OFF verified
adirs-1,ADIRS selector 1,AIRLINER_ADIRS_1,SetInputEvent 0/1,,INI_IRS1_STATE,0/1,Passive monitor + controlled live command test,Live verified,OFF=0 and NAV=1; both directions verified; flow also monitors INI_IRS_ON_BATTERY
adirs-2,ADIRS selector 2,AIRLINER_ADIRS_2,SetInputEvent 0/1,,INI_IRS2_STATE,0/1,Controlled complete-flow test,Live verified,NAV=1 verified; flow waits for INI_IRS_ON_BATTERY to extinguish
adirs-3,ADIRS selector 3,AIRLINER_ADIRS_3,SetInputEvent 0/1,,INI_IRS3_STATE,0/1,Controlled complete-flow test,Live verified,NAV=1 verified
seatbelts,Seat-belt signs,AIRLINER_LT_SIGN_SEATBELTS,SetInputEvent 1/2,,INI_SEATBELTS_SWITCH,AUTO=1 OFF=2,Passive monitor + controlled live command test,Live verified,AUTO and OFF independently verified; gameplay flow uses AUTO
no-smoking,No-smoking signs,AIRLINER_LT_SIGN_NOSMOKING,SetInputEvent 1/2,,INI_NO_SMOKING_SWITCH,AUTO=1 OFF=2,Controlled live command test,Live verified,AUTO and OFF independently verified
emergency-exit,Emergency exit lights,AIRLINER_LT_SIGN_EMEREXIT,SetInputEvent 1/2,,INI_EMER_EXIT_SWITCH,ARM=1 OFF=2,Controlled live command test,Live verified,ARM and OFF independently verified
transponder-mode-selector,Transponder mode selector STBY/AUTO/ON,AIRLINER_TCAS_MODE,STATE1/STATE2/STATE3,"(>B:AIRLINER_TCAS_MODE_State1/2/3)",INI_TCAS_STBY_STATE,STBY=0 AUTO=1 ON=2,MSFS Behavior Viewer + controlled live test,Live verified,AUTO and return to STBY independently verified
atc-system-selector,ATC system selector 1/2,INSTRUMENT_TCAS_ATC_SYS_IE_ID,Mouserect toggle,"(L:INI_TCAS_ATC_STATE) ! (>L:INI_TCAS_ATC_STATE)",INI_TCAS_ATC_STATE,SYS1=0 SYS2=1,MSFS Behavior Viewer,Command mapped,Separate from transponder mode selector
ground-spoilers-arm,Ground spoilers arm,AIRLINER_SPEEDBRAKE,LeftDrag,"0 'INI.SPOILERS_SET' (>F:KeyEvent); 'INI.SPOILERS_ARM_ON' (>F:KeyEvent); (>B:AIRLINER_SPEEDBRAKE_Set)",SPOILERS ARMED,0/1,MSFS Behavior Viewer,Command mapped,Exact aircraft lever path; live verification pending
ground-spoilers-disarm,Ground spoilers disarm,AIRLINER_SPEEDBRAKE,LeftDrag,"0 'INI.SPOILERS_SET' (>F:KeyEvent); 'INI.SPOILERS_ARM_OFF' (>F:KeyEvent); (>B:AIRLINER_SPEEDBRAKE_Set)",INI_SPOILERS_ARMED,DISARMED=0,MSFS Behavior Viewer,Command mapped,Exact inverse lever path after positive climb
takeoff-flaps-config-1,Flap lever CONFIG 1,HANDLING_FLAPS,WheelUp,"16384 (A:FLAPS NUM HANDLE POSITIONS, Number) / (>B:HANDLING_Flaps_Inc)",FLAPS HANDLE INDEX,1,MSFS Behavior Viewer,Command mapped,One detent from clean; live verification pending
flaps-clean,Flap lever CLEAN,HANDLING_FLAPS,WheelDown,"16384 (A:FLAPS NUM HANDLE POSITIONS, Number) / (>B:HANDLING_Flaps_Dec)",FLAPS HANDLE INDEX,0,MSFS Behavior Viewer,Command mapped,Flow 7 gated at 400 feet AGL and 180 knots; live verification pending
landing-gear-up,Landing gear lever UP,LANDING_GEAR_Gear,WheelUp,"(>B:LANDING_GEAR_Gear_Inc); 'INI.GEAR_UP' (>F:KeyEvent)",INI_GEAR_HANDLE_STATUS_ANIMATION,UP<0.5 DOWN>=0.5,MSFS Behavior Viewer + live test,Command live verified,Generic GEAR HANDLE POSITION did not follow the cockpit lever
landing-gear-down,Landing gear lever DOWN,LANDING_GEAR_Gear,WheelDown,"(>B:LANDING_GEAR_Gear_Dec); 'INI.GEAR_DOWN' (>F:KeyEvent)",INI_GEAR_HANDLE_STATUS_ANIMATION,DOWN>=0.5,MSFS Behavior Viewer,Command mapped,Exact inverse aircraft path; Flow 10 live verification pending
captain-altimeter-std,Captain QNH push to STD,INSTRUMENT_QNH_CPT_PUSH + BAROMETRIC_STD_PRESSURE,Input Event pulse + indexed K-event,"Hash 10580266766214260807; 1 (>K:BAROMETRIC_STD_PRESSURE)",KOHLSMAN SETTING STD:1,QNH=0 STD=1,MSFS Input Event enumeration + SDK cockpit template,Command mapped,Indexed K-event is authoritative state command
fo-altimeter-std,First Officer QNH push to STD,INSTRUMENT_QNH_FO_PUSH + BAROMETRIC_STD_PRESSURE,Input Event pulse + indexed K-event,"Hash 3529555828385965624; 2 (>K:BAROMETRIC_STD_PRESSURE)",KOHLSMAN SETTING STD:2,QNH=0 STD=1,MSFS Input Event enumeration + SDK cockpit template,Command mapped,Indexed K-event is authoritative state command
wxr-pws-selector,WXR/PWS selector,AIRLINER_WER_SWITCH_PWS,SetInputEvent,"SetInputEvent(14794713865952973521, 0)",INI_WX_SYS_SWITCH,OFF=1 MODE1=0 MODE2=2,SimConnect Input Event capture + Behavior Viewer,Command mapped,Flow 5 sets physical mode 1; numeric InputEvent value 1 is physical OFF
nose-light-selector,Nose light T.O./TAXI/OFF,AIRLINER_LT_TAXI,State1/State2/State3,"(>B:AIRLINER_LT_TAXI_State1/2/3)",INI_TAXI_LIGHT_SWITCH,T.O.=0 TAXI=1 OFF=2,MSFS Behavior Viewer + live test,Command mapped,Physical polarity confirmed live
landing-light-left,Left landing light ON/OFF/RETRACT,AIRLINER_LT_LDG_L,State1/State2/State3,"(>B:AIRLINER_LT_LDG_L_State1/2/3)",A320_LANDING_LIGHT_SWITCH_LEFT,ON=0 OFF=1 RETRACT=2,MSFS Behavior Viewer + live test,Command mapped,Physical polarity confirmed live
landing-light-right,Right landing light ON/OFF/RETRACT,AIRLINER_LT_LDG_R,State1/State2/State3,"(>B:AIRLINER_LT_LDG_R_State1/2/3)",A320_LANDING_LIGHT_SWITCH_RIGHT,ON=0 OFF=1 RETRACT=2,MSFS Behavior Viewer + live test,Command mapped,Physical polarity confirmed live
tcas-traffic-selector,TCAS traffic selector STBY/TA/TA-RA,AIRLINER_TCAS_STBY,STBY/TA/TARA B-events,"(>B:AIRLINER_TCAS_STBY_STBY/TA/TARA)",INI_TCAS_MODE_PEDESTAL,STBY=0 TA=1 TA-RA=2,MSFS Behavior Viewer + cockpit comparison,Command mapped,INI_TCAS_MODE was disproven by live screenshot; pedestal readback pending live verification
tcas-altitude-reporting,TCAS altitude reporting OFF/ON,TCAS_ALT_RPTG,Mouserect toggle,"(L:INI_TCAS_ALT_STATE) ! (>L:INI_TCAS_ALT_STATE)",INI_TCAS_ALT_STATE,ON=0 OFF=1,MSFS Behavior Viewer + live cockpit comparison,Command mapped,Native polarity is inverted; Flow 6 normal setting ON
fuel-pump-eng1-l1,Left tank fuel pump 1,AIRLINER_FUEL_ENG1_L1,Mouserect,"(L:INI_OUTER_TANK_LEFT) ! (>L:INI_OUTER_TANK_LEFT) (L:__FUEL_ENG1_L1IsPressed) ! (>L:__FUEL_ENG1_L1IsPressed)",INI_OUTER_TANK_LEFT_PUMP_ON,0/1,MSFS Behavior Viewer + live test,Live verified,Exact cockpit Mouserect code; ON and OFF verified
fuel-pump-eng1-l2,Left tank fuel pump 2,AIRLINER_FUEL_ENG1_L2,Mouserect,"(L:INI_INNER_TANK_LEFT) ! (>L:INI_INNER_TANK_LEFT) (L:__FUEL_ENG1_L2IsPressed) ! (>L:__FUEL_ENG1_L2IsPressed)",INI_INNER_TANK_LEFT_PUMP_ON,0/1,Behavior pattern + live test,Live verified,ON and OFF verified as part of six-pump group
fuel-pump-ctr1,Center tank fuel pump 1,AIRLINER_FUEL_CTR_1,Mouserect,"(L:INI_CENTER_TANK_LEFT) ! (>L:INI_CENTER_TANK_LEFT) (L:__FUEL_CTR_1IsPressed) ! (>L:__FUEL_CTR_1IsPressed)",INI_CENTER_TANK_LEFT_PUMP_ON,0/1,Behavior pattern + live test,Live verified,ON and OFF verified as part of six-pump group
fuel-pump-ctr2,Center tank fuel pump 2,AIRLINER_FUEL_CTR_2,Mouserect,"(L:INI_CENTER_TANK_RIGHT) ! (>L:INI_CENTER_TANK_RIGHT) (L:__FUEL_CTR_2IsPressed) ! (>L:__FUEL_CTR_2IsPressed)",INI_CENTER_TANK_RIGHT_PUMP_ON,0/1,Behavior pattern + live test,Live verified,ON and OFF verified as part of six-pump group
fuel-pump-eng2-r1,Right tank fuel pump 1,AIRLINER_FUEL_ENG2_R1,Mouserect,"(L:INI_INNER_TANK_RIGHT) ! (>L:INI_INNER_TANK_RIGHT) (L:__FUEL_ENG2_R1IsPressed) ! (>L:__FUEL_ENG2_R1IsPressed)",INI_INNER_TANK_RIGHT_PUMP_ON,0/1,Behavior pattern + live test,Live verified,ON and OFF verified as part of six-pump group
fuel-pump-eng2-r2,Right tank fuel pump 2,AIRLINER_FUEL_ENG2_R2,Mouserect,"(L:INI_OUTER_TANK_RIGHT) ! (>L:INI_OUTER_TANK_RIGHT) (L:__FUEL_ENG2_R2IsPressed) ! (>L:__FUEL_ENG2_R2IsPressed)",INI_OUTER_TANK_RIGHT_PUMP_ON,0/1,Behavior pattern + live test,Live verified,ON and OFF verified as part of six-pump group
adirs-ir1-push,ADIRS IR1 pushbutton,AIRLINER_ADIRS_IR1,PUSH,"(>B:AIRLINER_ADIRS_IR1_PUSH)",,,,MSFS Behavior Viewer,Documented binding,This is the IR1 pushbutton and not the ADIRS rotary selector
door-1-left,Door 1 left,UNKNOWN_DOOR1L,,,,,Aircraft Input Event inventory,Aircraft-discovered,UNKNOWN name; do not use without Behavior Viewer identification
door-2-left,Door 2 left,UNKNOWN_DOOR2L,,,,,Aircraft Input Event inventory,Aircraft-discovered,UNKNOWN name; do not use without Behavior Viewer identification
door-1-right,Door 1 right,UNKNOWN_DOOR1R,,,,,Aircraft Input Event inventory,Aircraft-discovered,UNKNOWN name; do not use without Behavior Viewer identification
door-2-right,Door 2 right,UNKNOWN_DOOR2R,,,,,Aircraft Input Event inventory,Aircraft-discovered,UNKNOWN name; do not use without Behavior Viewer identification
